"1962/01/13","Near Tippi, Ethiopia","Ethiopian Airlines",NULL,"Tippi - Jimma","Douglas DC-3","ET-T-1","10053",1,3,3,2,1,"Swerved off the runway while taking off and struck a structure."
"1962/01/22","Caranavi ,Bolivia","Corporacion Boliviano de Fomento",NULL,NULL,"Curtiss C-46D","CP-541","33579",2,4,2,4,0,"The cargo planes right wing tip struck a wall and then the plane crashed into a tree. Pilot error in failing to discontinue takeoff, even after the right wing tip hit the well and broke off, while the aircraft was on the ground during the takeoff run."
"1962/01/27","Batataevka, USSR","Aeroflot",NULL,"Training","Antonov AN-10A","CCCP-11148"," 9400801",0,1,0,1,0,"Crashed on take off due to engine failure. The No..4 propeller did not feather and the airplane banked to the right, lost speed and crashed."
"1962/02/04","Near Tino Maria, Peru","Faucett",NULL,"Huanuco - Pucallpa","Douglas DC-3","OB-PBH-530","7331",1,3,1,3,0,"While flying at FL 150, the pilot radioed he was returning to Huanuco because of bad weather. Soon after, the plane was seen spiraling towards the ground and witnesses heard the engines accelerate before the aircraft hit a hill. Separation of the left elevator in flight."
"1962/02/25","Portlamar, Margarita Island, Venezuela","Avensa",NULL,"Porlamar - Cumana","Fairchild F-27","YV-C-EVH","0012",2,3,2,3,0,"Approximately 10 minutes after takeoff , for a scheduled flight to Cumana, the aircraft crashed into the San Juan Mountains."
"1962/02/25","Municipio de Marulanda, Colombia","Avianca",NULL,"Manizales - Bogota","Douglas C-47A","HK-502","19653",0,2,0,2,0,"After taking off the crew of the cargo plane declared an emergency and crashed shortly after. The faulty procedure on the part of the pilot who made the en route climb from Manizales to San Felix at a low altitude, so that the aircraft became trapped in a canyon and crashed in the San Felix pass at La Aguadita after stalling during a turn at 9,000 ft."
"1962/03/01","Jamaica Bay, New York, New York","American Airlines","1","New York City - Los Angeles","Boeing B-707-123B","N7506A","17633/12",8,8,8,8,0,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which causeda full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo units wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft."
"1962/03/04","Douala, Cameroon","Caledonian Airways","153","Douala - Lisboa","Douglas DC-7C","G-ARUD","45160/754",1,1,1,1,0,"The aircraft had a unusually long take-off run and appeared to gain altitude with difficulty. One and one-half miles from the runway the aircraft struck trees and crashed into a tidal swamp and burst into flames.A jammed right elevator spring tab caused the crew to lose of control of the aircraft."
"1962/03/06","Near Seymour, South Africa","South African Airways","512","Grahamtown - Queentown","Douglas DC-3","ZS-DJC","16189/32937",3,4,0,2,0,"Crashed into a mountain. Error in judgement by the pilot-in-command who attempted a low visual flight, beneath the cloud base, near mountains, in deteriorating weather conditions."
"1962/03/08","Mt. Medetsiz, Turkey","Turkish Airlines (THY)",NULL,"Ankara - Adana","Fairchild F-27","TC-KOP","0083",8,3,8,3,0,"Crashed into a mountain at an altitude of 6,800 ft. while en route in poor weather. In avoiding cumulus clouds and turbulent conditions the pilot was not able to keep track of his exact position or maintain exact altitude."
