"1959/01/06","Mt. Pena Blanca, Guatemala","Sahsa Airlines",NULL,"Copan - Nuovo Octopeque","Douglas DC-3","XH-SAA","19667",2,3,2,3,0,"Crashed into Mt. Pena Blanca while en route. The pilots attempt to fly over mountainous terrain by visual reference to the ground under weather conditions restricting visibility which forced him to descend to a dangerously low altitude."
"1959/01/08","Mt. Holston, Tennessee","Southeast Airlines","308","Nashville - Knoxville - Tri-City Aport","Douglas DC-3","N18941","2007",7,3,7,3,0,"The aircraft struck a mountain during an ILS approach to Tri-City Airport. Pilots failure to identify an intersection properly, resulting in flying 15 miles beyond the outer marker and descending to an alititude too low to clear high terrain. An inoperative compass was not entered into the aircraft log."
"1959/01/11","Rio de Janeiro, Brazil","Lufthansa",NULL,"Hamburg - Rio de Janeiro","Lockheed 1049G Super Constellation","D-ALAK","4602",2,1,2,7,0,"The plane descended over Guanabara Bay in rain, struck the water with the nosewheel and crashed on Flecheiras Beach, short of the runway. Descent below minima for reasons unknown. Crew fatigue possible."
"1959/01/11","Rio de Janerio, Brazil","Lufthansa","502","Hamburg-Frankfurt-Paris-Lisbon-Dakar-Senegal-Rio Janerio","Lockheed L 1049G Super Constillation","D-ALAK","4602",2,1,2,7,0,"Twenty minutes out ofRio de Janerio, the crew was cleared to descend from 14,000 to 10,000 feet. After reachingKXNDB (waypoint) they were cleared to descend to 3000 ft.. Galeaoa approach was contacted and normal position reports were made. As the plane descended over Guanabara Bay in rain, the extended nosewheel struck the water. The crew tried to continue the approach, but the aircraft crashed near Flecheiras Beach, short of the runway. The actual cause of the accident was never determined however, the most probable cause was pilot error in descending below the minimum altitude on final approach. Aircrew fatigue was considered to be a contributing factor.Crew flight time exceeded the Brazilian limits, but did not exceed the German limitations."
"1959/01/14","Panther Peak, California","California Air Freight",NULL,"Burbank, CA - Seattle, WA","Curtiss C-46F","N1240N","22404",0,2,0,2,0,"The cargo plane crashed into Panther Peak while en route."
"1959/01/16","Off Mar del Plata, Argentina","Austral Lineas Aeras (Argentina)",NULL,"Buenos Aires - Mar del Plata","Curtiss C-46A-50-CU","LV-GED","30514",4,5,4,5,0,"The aircraft overshot runway and a missed approach procedure was initiated. The plane gradually descended into the ocean just offshore. The pilot was not familiar with the airport and he miscalculated during the instrument approach procedure. The pilots temporarily confused mental state when he found himself in this critical situation, effectuating his capability and skill."
"1959/01/18","Stalingrad, Russia","Aeroflot","205","Voronezh - Stalingrad","Ilyushin IL-14P","USSR-41863","146000701",2,5,2,5,0,"Crashed in a snow covered field while attempting to land. Cause undetermined. Possibly hit by machine gun fire."
"1959/01/21","Near Merida, Venezuela","Linea Expresa Bolivar",NULL,"Merida - Lagunillas"," Curtiss C-46D-15-CU","YV-C-LBI","33411",2,2,2,2,0,"While en route,flying VFR the plane ran into a cloud covered El Callejon passat 7,000 feet. The aircraft made a 180deg turn but crashed into the La Culata Peak at an altitude of 13,500 feet. Flying of the aircraft at an insufficient altitude over an area apparently unfamiliar to the pilot."
"1959/01/22","Dabouk, Jordan","Air Jordan","601","Jerusalem - Dobouk","Convair CV-240-2","JY-ACB","055",1,4,6,4,0,"Struck trees during approach and crashed 2.8 miles northwest of Wadi-Es-Sir. Adverse weather conditions."
"1959/01/27","Brindisi, Italy","Air Charter",NULL,NULL,"Avro 688","G-AGRG","1255",0,6,0,2,0,"Overran the runway while taking off, cashed and burst into flames. Windshear."
"1959/02/01","Kerrville, Texas","General Airways",NULL,"Pueblo, CO - San Antoonio, TX","Douglas DC-3","N17314","1924",3,2,1,2,0,"The aircraft crashed into a hill while attempting an emergency landing after experiencing icing. The captains poor judgment in continuing into known and dangerous icing conditions."
"1959/02/03","Mason City, Iowa","Dwyer Flying Service - Private Charter","-","Mason City - Fargo","Beechcraft Bonanza 35","N3794N","D- 1019",3,1,3,1,0,"Buddy Holly chartered the plane to fly to Fargo after appearing as part of the Winter Dance Party tour at Clearlake, Iowa.J.P. The Big Bopper Richardson, who was suffering from the flu, talked Waylon Jennings into giving up his seat. Ritchie Valens won a coin-toss and went in place of Tommy Allsup. He commented I never won anything in my life after winning the coin-toss. The plane took off into deteriorating weather conditions. The pilot, Roger Peterson, was not certified to fly IFR. The wreckage of the plane was found the next morning in a snowy meadow, 5 miles NW of the airport. The plane hit the ground at a high rate of speed and singers Ritchie Valens, 17, Buddy Holly, 22, Jiles P. The Big Bopper Richardson, 28, as well as the pilot, were killed instantly. It appeared, the pilot became disoriented and flew the plane into the ground.Officially: The pilots decision to undertake a flight in which the likelihood of encountering IFR conditions existed, when he was not certified to fly IFR. Also, deficiencies in the weather briefing and the pilots unfamiliarity with the instrument which determines the attitude of the aircraft. In later years, a story appeared in the Iowa Globe Gazette in which a pilot, Al Potter, flying in the vicinity of the aircraft that night, claimed he was in contact with the aircraft shortly before it crashed. Potter stated the pilot radioed he had taken on ice and was losing power."
"1959/02/03","La Guardia Airport, New York, NY","American Airlines","320","Chicago - New York City","Lockheed188A Electra","N6101A","1015",6,5,6,2,0,"While attempting to land in rain and fog at La Guardia Airport, the aircraft descended below the minimum altitude and crashed into the East River. The aircraft struck the water while in shallow descent at 150 mph with its landing gear and flaps extended. Primarily the crash resulted from the failure of the crew to properly monitor essential instruments for determining attitude due to preoccupation with particular aspects of the aircraft and its environment. Limited experience of the crew with this particular type of aircraft. Erroneous setting of the captains altimeter. Possibly misinterpretation of the altimeter and rate of descent indicator."
