"2001/01/04","Zheng Zou AB, China","Military - Peoples Liberation Army",NULL,"Training","Shaanxi Yunshuji Y-8/Yunshuji Y-8","31242/31243",NULL,0,1,0,1,6,"Two Antonov 12 planes collided in midair killing all aboard and 6 on the ground."
"2001/01/08","Near Silimo, Indonesia","Military - Tentara Nasional Indonesia Navy",NULL,"Timika - Jayapura","CASA 212-MP Aviocar 200","U-614","223/63N",0,9,0,9,0,"Struck Timika Peak at 11,800 ft. shortly after taking off."
"2001/01/14","Near Lake Point, Utah","Skydive Salt Lake - Charter",NULL,"Skydiving","Beech A90 King Air","N616F","LJ-165",8,1,8,1,0,"Crashed into the Great Salt Lake with skydivers during a final approach to Tooele. The pilots exercise of poor judgment and his failure to maintain a safe altitude/clearance above the water. Contributing factors were the weather conditions that included low ceiling and visibility obscured by snow and mist, an inadequately equipped airplane for flying in instrument meteorological conditions, and the pilots overconfidence in his personal ability in that he had reportedly done this on two previous occasions."
"2001/01/23","Eider Point, Alaska","Majestic Air Cargo",NULL,NULL,"Douglas C-47A-30-DK (DC-3C)","N19454","13863",0,2,0,2,0,"The cargo plane crashed on Table Top Mountain while en route. The airplane flightcrews failure to maintain adequate distance/altitude from mountainous terrain during a departure climb to cruise flight, and the captains impairment from drugs. Factors in the accident were dark night conditions, and the first officers impairment from drugs."
"2001/01/25","Ciudad Bolivar, Venezuela","Rutaca Airlines","224","Canaina - Ciudad Bolivar - Por La Mar","Douglas DC-3C (C47A-DL)","YV-224C","19055",2,4,2,4,0,"The plane caught fire shortly after taking off from Ciudad Bolivar where it had made a refueling stop. The pilot was unable to tell the tower what was wrong before rolling inverted and crashing into a neighborhood south of the city."
"2001/01/27","Byers, Colorado","North Bay Charter",NULL,"Broomfield, CO - Stillwater, OK","Beech King Air 200 Catpass","N81PF","BB-158",8,2,8,2,0,"The plane was on a charter flight from Jefferson County Airport to Stillwater, Oklahoma. Radio and radar contact was lost 20 - 30 minutes after the plane took off as it reached 23,000 feet. The aircraft crashed at a high rate of speed into the ground on a farm 40 miles east of Denver. There was light snow and 1.5 miles visibility at the time of the accident. Two members and six staffers of the Oklahoma State University basketball team were among those killed. The probable cause of this accident was the pilot’s spatial disorientation resulting from his failure to maintain positive manual control of the airplane with the available flight instrumentation.Contributing to the cause of the accident was the loss of a.c. electrical power during instrument meteorological conditions."
"2001/01/31","El Yopal, Colombia","Lineas Aereas Suramericanas",NULL,"El Yopal - Mitu","Sud Aviation SE-210 Caravelle 10R","HK-3932X","201",3,3,2,1,0,"While attempting to land at Mitú, the cargo planes landing gear struck the ground short of the threshold. A go- around was executed but the No. 1 engine was shut down because of low oil pressure. The plane flew over the control tower twice to determine the state of the landing gear. It appeared that part of the left main landing gear was missing. The crew then positioned the plane for an approach and landing. As the plane turned into long final, it struck the ground, crashed in a meadow and caught fire."
"2001/02/08","Beaver Island, Minnesota","Northern Illinois Flight Center",NULL,"Chicago - Beaver Island","Swearingen SA.227AT Merlin IVC","N318DH","AT-469",4,2,0,2,0,"Impacted trees and crashed while attempting to land. The flightcrew not maintaining altitude/clearance during the circling instrument approach. Factors were the pilot in command initiating the flight without proper weather reporting facilities at the destination, the flightcrew not flying to an alternate destination, the flightcrew not following company and FAA procedures/directives, the lack of certification of the second pilot, the operator not following company and FAA procedures/directives, and the dark night and the low ceiling."
"2001/02/08","Nurnberg, Germany","E.A.S. Aeroservizi",NULL,"Nurnberg - Rome, Italy","Learjet 35A","I-MOCO","35-445",1,2,1,2,0,"The plane experienced asymetrical thrust during takeoff. Rose 200-300 ft., stalled and crashed into trees. An in-flight failure of the left power plant appromately 3 minutes after take-off and inadequate conduct of the crewso that in short final the airplane stalled and crashed from low height. The failure of the left engine was caused by intergranular fractures of retention posts on the high pressure turbine disk. As a result of incorrect service life recordings the maximum number of cycles had considerably been exceeded."
"2001/02/10","Jakobkondre, Suriname","Gum Air Charter",NULL,"Paramaribo - Jakobkondre","GAF Nomad N24A","PZ-TBP","N24A-73",9,1,9,1,0,"After losing radio contact with the airport, the aircraft was observed flying low before crashed into a mountainside 2 nm from Jakobkondre."
"2001/02/27","Near Granton Harbour, Scotland","Loganair","670","Edinburgh - Belfast","Shorts 360-100","G-BNMT","SH3723",0,2,0,2,0,"Double engine failure on take off cause the cargo plane to ditch in Firth of the Forth estuary. Icing."
"2001/03/02","Rio Azul Farm, Brazil","Air taxi - Cuiaba Air Taxi",NULL,NULL,"Beech BE-55","PT-OET",NULL,5,1,5,1,0,"Just after rising the plane stalled while making a turn and crashed and burned."
"2001/03/03","Unadilla, Georgia","Military - Florida Army National Guard",NULL,"Fort Walton Beach, Fl - Oceana Naval Air Station, VA","Short 360","93-1336","3684/3420",1,3,1,3,0,"The plane was on a flight from Florida to Oceana Naval Air Station in Virginia when witnesses observed the plane gliding down and losing altitude until it impacted the ground, exploding into flames. Heavy rain and wind were present in the area at the time of the accident. Weight imbalances in the aircraft were the primary cause of the accident as the cargo shifted when the pilotgot up and walked through the plane toward the rear of the plane, unbalancing the aircraft just as it hit severe turbulence. This led to the loss of control and break-up of the aircraft."
"2001/03/03","Bangkok, Thailand","Thai Airways","114","Bangkok - Chiang Mai.","Boeing B-737-4D7","HS-TDC","25321/2113",0,5,0,1,0,"The aircraft exploded and caught fire 35 minutes before its scheduled takeoff. Five members of the cabin crew were the only people aboard the plane at the time. Witnesses said they heard an explosion before flames erupted aboard the aircraft. NTSB investigators reported that the center fuel tank exploded followed by the right tank 18 minutes later. The cause for the explosion was unclear. The center fuel tank is located near air conditioning packs which generate heat, and were running nonstop prior to the explosion."
"2001/03/15","Medina, Saudi Arabia","Vnukovo Airlines",NULL,"Istanbul, Turky - Moscow, Russia","Tupolev 154M","RA-85619","86A-738",1,1,2,1,0,"The plane was hijacked and flown to Medina, Saudi Arabia. The plane was stormed and three people killed."
"2001/03/17","Near Lubango, Angola","Sociedade de Aviacao Ligeira Charter",NULL,"Luanda - Lubango","Beechcraft 1900C","S9-CAE","UC-142",1,2,1,2,0,"The aircraft crashed into a mountain at 6,500 ft. while approaching Lubango to land. The weather at the time was cloudy with rain."
