"1926/02/12","Montpelier, Ohio","US Aerial Mail Service",NULL,NULL,"Curtiss Carrier Pigeon","602",NULL,0,1,0,1,0,"While the mail plane was flying at a low altitude, theaircraft hit trees and crashed in a wooded area."
"1926/03/08","Staaken, Germany","Deutche Lufthansa",NULL,NULL,"Junkers F-13","D-290D-290","665",0,1,0,1,0,"While in a training filight the aircraft stalled and crashed while attempting to land."
"1926/05/31","English Channel","Air Union",NULL,"Paris - Cryodon","Breguet 14","F-ADAI","1908",0,1,0,1,0,"The mail plane crashed into the English Channel and was never found."
"1926/07/03","Rossaugpt, Czechoslovakia","Compagnie Internationale de Navigation Aérienne",NULL,"Paris - Prague - Budapest","Caudron C-61","F-AFBT","5307",4,2,4,2,0,"Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude."
"1926/07/09","Wolvertem, Belgium","KLM Royal Dutch Airlines",NULL,"Amsterdam - Rotterdam - Brussels - Paris","Fokker F7","H-NACC","4759",1,1,1,1,0,"Crashed into the ground while descending in poor weather."
"1926/07/24","Juist, Germany","Deutsche Lufthansa",NULL,NULL,"Junkers F-13","D-272","660",4,1,4,1,0,"Weather related."
"1926/08/18","Hurst, Kent, England","Air Union",NULL,"Lebourget, France - Croydon, England","Bleriot 155","F-AIEB","2",3,1,3,1,0,"The plane made a forced landing at Romney Marshin heavy fog.Engine failure. The pilot initally survived but died a day later."
"1926/09/26","New York, New York",NULL,NULL,"New York - Paris","Sikorsky S-25",NULL,NULL,4,1,2,0,0,"Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight."
"1926/10/02","Leigh, Kent, Unied Kingdom","Air Union",NULL,"Paris - London","Bleriot 155","F- AICQ","1",5,2,5,2,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
"1926/10/08","Bueren, Germany","Deutsche Lufthansa",NULL,NULL,"Fokker FG III","D-468","1554",3,1,3,1,0,"Weather related."
"1926/10/21","English Channel","Imperial Airways",NULL,"Croydon - Paris","Handley Page W-10","G-EBMS","W10/3",1,2,0,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
"1926/11/11","Cape Bojador, Morocco","Grands Express Aeriens",NULL,"Casablanca -Dakar","Breguet 14","F-AFAX","198",3,0,3,0,0,"While en route and cruising along the shore, the mail planes engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
"1926/12/16","Medford, Oregon","Pacific Air Transport",NULL,NULL,"Ryan M-1","2",NULL,0,1,0,1,0,"The postal plane crashed into a mountain slope in foggy conditions."
