"1941/01/10","Mediterranean Sea","LATI",NULL,NULL,"Savoia-Marchetti SM-83","I-AREM",NULL,1,4,1,4,0,"Crashed into the sea while en route."
"1941/01/15","OffFernando de Noronha, Brazil","LATI",NULL,NULL,"Savoia-Marchetti SM-75","I-BAYR","32013",NULL,NULL,NULL,NULL,0,"Crashed near the Equator after the crew had lost an engine. Three hours later an SOS was transmitted."
"1941/01/17","Near Nagyvarad, Hungary","Malert Airlines",NULL,"Budapest - Maros-Vasarhely","Junkers JU-52/3m","HA-JUA","5523",1,3,9,3,0,"Crashed while en route."
"1941/01/20","Near Kian, China","China National Aviation Corporation",NULL,NULL,"Ford 5-AT Tri-Motor",NULL,NULL,1,5,1,4,0,"Crashed into mountains during a thunderstorm"
"1941/01/23","Near Robertson, Missouri","Trans Continental and Western Air","6","Kansas City, MO - New York","Douglas DC-3-3","NC17315","1930",1,3,1,1,0,"Shortly after passing over the west boundary of the airport, the pilot started a left turn. While in the turn, the plane contracted trees 113 feet above the level of the airport.Full power was applied to the engines in an attempt to pull up but other trees were struck and the pilot lost control. The aircraft crashed to the ground at a point approximately one-fourth of a mile southwest of the airport boundary. The action of the pilot in attempting a landing under adverse weather conditions in disregard of the minimums prescribed by the Civil Aeronautics Administration and in maneuvering for such a landing at a dangerously low altitude."
"1941/02/06","Armstrong, ON, Canada","Trans Canada Air Lines","3","Toronto - Winnipeg","Lockheed 14-H2 Super Electra","CF-TCP","1501",9,3,9,3,0,"The plane crashed after the right wing struck a tree as the pilot was attempting to land in adverse weather. Struck several other trees and landed inverted in a swamp."
"1941/02/26","Atlanta, Georgia","Eastern Air Lines","21","New York City -Washington D.C. - Atlanta - Brownsville","Douglas DC-3","NC28394","3204",1,3,6,3,0,"The aircraft crashed into a hill in pine woods, near Chandler Field, while attempting to make an instrument landing approach in rain and fog. The failure of the captain in charge of the flight to exercise the proper degree of fare by not checking his altimeters to determine whether both were correctly set and properly functioning before commencing his landing approach. A substantial contributing factor was the absence of an established uniform cockpit procedure on Eastern Air Lines by which both the captain and co-pilot are required to make a complete check of the controls and instruments during landing operations. Captain Edward Rickenbacker, President of Eastern Air Lines, survived the crash."
"1941/03/01","Trontheim, Norway","Deutsche Lufthansa",NULL,NULL,"Junkers JU-52/3m","D-AQUB","5751",9,3,3,0,0,"The seaplane crashed while attemping to land."
"1941/03/28","Elands Bay, South Africa","South African Airways",NULL,NULL,"Lockheed 18 Lodestar","ZS-AST","2034",6,4,6,4,0,"Crashed into a mountain."
"1941/06/03","Atlantic Ocean","Great Western and Southern Air Lines",NULL,"Isles of Scilly - Penzance, Cornwall","de Havilland DH-84 Dragon","G-ACPY","6076",5,1,5,1,0,"Shot down by a He-111 German military aircraft 20 minutes after takeoff.."
"1941/06/18","Bucharest, Romania","LARES",NULL,"Bucharest , Romania- Sofia, Bulgaria","Douglas DC-3","YR-PIF","1985",NULL,NULL,NULL,NULL,0,"Crashed during takeoff."
"1941/06/21","Sea of Japan","Manchurian Air Lines",NULL,NULL,"Mitsubishi MC-20","M-604",NULL,NULL,NULL,NULL,NULL,0,"Crashed while en route."
"1941/08/10","Arran, Scotland","Military -Royal Air Force",NULL,NULL,"Consolidated LB-30A Liberator","AM261",NULL,1,5,1,5,0,"Crashed into a mountain ridge in rain, low visibility and overcast conditions. Navigational error."
"1941/08/14","Ayr, Scotland","Military - Royal Air Force",NULL,NULL,"Consolidated LB-30A Liberator","AM260",NULL,NULL,NULL,NULL,NULL,0,"Crashed and burned on takeoff at Heathfield airfield, after veered off the runway and striking a small building and then an embankment."
"1941/08/18","Near Sao Paulo, Brazil","Panair do Brasil",NULL,"Porto Alegre - Rio de Janera","Lockheed 18 LodeStar","PP-PBD","2083",NULL,NULL,NULL,NULL,0,"Crashed in a mountain range while enroute."
"1941/09/01","Bollemont, France","Air France",NULL,NULL,"Bloch 220","F-AQNL","12",1,3,1,3,0,"The aircraft crashed into lake Bolomon after engine failure during takeoff in windy conditions."
"1941/09/01","Campbeltown, Argyll, Scotland","British Overseas Airways",NULL,NULL,"Consolidated 32-2 Liberator I","AM-915",NULL,NULL,NULL,NULL,NULL,0,"Crashed into a hillside."
"1941/10/03","San Juan, Puerto Rico","Pan American World Airways","203","Miami - Buenos Aires","Sikorsky S-42B (flying boat)","NC15376","4206",9,6,2,0,0,"Following the approach, the aircraft contacted the water in an unduly nose-low attitude while moving sideways relative to the water.Almost immediately after first contact with the water, the aircraft swerved violently to the right and broke into several major sections. The failure of the captain to exercise requisite caution and skill in landing. A contributing factor was the smooth surface of the water, which rendered difficult, the captains depth perception as well as the exact determination of any lateral movement of the aircraft."
"1941/10/28","Near Petrich, bulgaria","Deutsche Lufthansa",NULL,NULL,"Junkers JU-53/3m","D-AUXZ","7172",1,3,1,3,0,"Crashed on the Greek/Hungarian border."
"1941/10/30","Near Moorhead, Minnesota","Northwest Orient Airlines","5","Minneapolis - Fargo","Douglas DC-3","NC21712","2124",1,2,1,1,0,"Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate."
"1941/10/30","St. Thomas, Ontario, Canada","American Airlines","1","New York - Buffalo - Chicago - Detroit","Douglas DC-3","NC25663","2207",1,3,1,3,0,"The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown."
