"1991/01/10","Near Paramo Mucuti, Venezuela","Military - Venezuelan Navy",NULL,"Caracas - Merida","CASA 212 Aviocar 200","ARV-0209","264",1,3,1,3,0,"Crashed into Paramo Mucuti Mountain, 35 miles from its destination of Merida. The last message from the pilot was he was unable to land because of adverse weather conditions and was declaring an emergency. The flight was transporting a funeral party for a Navy flyer killed a few days before. The only survivor was another Navy flyer who had also survived the earlier accident."
"1991/01/11","Near Belo Horizonte, Brazil","Belair - Air Taxi",NULL,NULL,"Learjet 25C","PT-KKV","25-172",3,2,3,2,0,"Crashed in a rainstorm."
"1991/01/30","Jalaludin, Indonesia","Merpati Nusantara Airlines",NULL,NULL,"CASA 212 Aviocar 200","PK-NCY","258/78N",1,3,1,0,0,"The plane made a forced landing during poor weather conditions and crashed into trees on a ridge. All passengers survived but one elderly passenger died while waiting for rescue."
"1991/01/31","Near Ras Al Khafji, Saudi Arabia","Lockheed AC-130H Hercules",NULL,NULL,"Military - U.S. Air Force","69-6567","4341",0,1,0,1,0,"Shot down by a surface-to-air missile during operation Desert Storm."
"1991/02/01","LAX, Los Angeles, California","USAir / Skywest Airlines","1493/5569","Columbus - Los Angeles \Los Angeles - Fresno","Boeing B-737-300 / Swearingen SA-227AC","N388US/N683AV","23310/1145 / AC-683",9,8,3,4,0,"The Skywest Metroliner was told to taxi into position for takeoff and hold. The ATC became preoccupied with another aircraft that departed the tower frequency. A Wings West aircraft reporting ready for takeoff, caused some confusion because the controller didnt have a flight progress strip in front of her. The strip appeared to have been misfiled at the clearance delivery position. The USAir, which was cleared to land, struck the rear of the Metroliner. After the collision, both planes slid off the runway into an unoccupied fire station and burst into flames.The failure of the Los Angeles Air Traffic facility management to implement procedures that provided redundancy comparable to the requirements contained in the National Operational Position Standards and the failure of the FAA ATS to provide adequate policy direction and oversight to its ATC facility managers. These failures created an environment in the Los Angeles ATC tower that ultimately led to the failure of thecontroller to maintain awareness of the traffic situation, culminating in the inappropriate clearances and the subsequent collision of the USAir and SkyWest aircraft. Twenty-two killed aboard the USAir and all 12 aboard the Metroliner. One additional person died 31 days after the accident making it 35 killed."
"1991/02/05","Near Nea Ankhialos, Greece","Military - Hellenic Air Force",NULL,NULL,"Lockheed C-130H","748","4724",5,4,5,4,0,"The aircraft flew into the summit of Mt. .Othrys at 4,000 ft. while preparing to land at Nea Anghialos Airport."
"1991/02/07","Munford, Alabama","Macon Horizons - Air Taxi",NULL,"Macon, GA - Anniston, AL","Piper PA-31-350","N27818","31-7952001",3,1,3,1,0,"Impacted the side of a mountain at 2,300 ft., 10 miles from the destination airport. The pilot attempting visual flight in instrument meteorological conditions below the minimum safe altitude for terrain clearance. Contributing factors were the low ceiling and mountainous terrain."
"1991/02/13","Aspen, Colorado","Air Taxi - Richmor Aviation",NULL,"Las Vegas, NV - Aspen, CO","Learjet35A","N535PC","291",1,2,1,2,0,"During an unstabilized approach in snow covered terrain and after not lining up correctly the pilot tried to correct the plane back to the centerline and inadvertently stalled the plane which crashed right wing first into the ground. Airspeed not maintained. Inadvertent stall."
"1991/02/14","Near Taisha, Ecuador","Military - Ecuadorean Air Force",NULL,"Macao - Taisha","de Havilland Canada DHC-6 Twin Otter 300","FAE447","832",1,3,1,3,0,"Crashed into the side of Mt. Paso Macunaa at 5,000 ft. in a jungle region of eastern Ecuador in poor weather."
"1991/02/17","Cleveland, Ohio","Ryan International Airlines","590","Cleveland - Indianapolis","McDonnell Douglas DC-9-15RC","N565PC","47240/346",0,2,0,2,0,"The cargo plane stalled during takeoff cart wheeled and crashed. The failure of the flight crew to detect and remove ice contamination on the airplanes wings, which was largely a result of a lack of appropriate response by the Federal Aviation Administration, Douglas Aircraft Company, and Ryan International Airlines to the known effect that a minute amount of contamination has on the stall characteristics of the DC-9 series 10 airplane. The ice contamination led to wing stall and loss of control during the attempted takeoff."
"1991/02/20","Puerto Williams, Chile","LAN",NULL,"Punta Arenas - Puerto Williams","British Aerospace BAE-146-200A","CC-CET","E-2061",6,7,2,0,0,"The plane overran the runway on approach and sank in Beagle Channel in the sea."
"1991/02/22","Cazombo, Angola","Fuerza Area Angolaise",NULL,NULL,"Antonov AN-26",NULL,NULL,4,4,4,4,0,"Shot down by surface-to-air missile launced by UNITA rebels."
"1991/03/03","Near Colorado Springs, Colorado","United Air Lines","585","Denver - Colorado Springs","Boeing B-737-291","N999UA","22742/875",2,5,2,5,0,"While on final approach to Colorado Springs, the aircraft suddenly rolled to the right and pitched nose down until it reached an almost vertical attitude before hitting the ground. Uncommanded deflection of the rudder caused by the jamming of the main rudder PUC servo valve. The rudder malfunction forced the rudder to go in the opposite direction the pilots commanded it to go. First female pilot to die on the flight deck of a major U.S. airline."
"1991/03/05","La Puerta, Venezuela","Linea Aeropostal Venezolana","108","Maracaibo - Santa Barbara de Zulia","McDonnell Douglas DC-9-32","YV-23C","47720/846",4,5,4,5,0,"The aircraft crashed into the Las Torres plateau in the Andes mountains on a flight from Maracaibo to Santa Barbara de Zulia. The mountain was shrouded in clouds. Controlled flight into terrain. The point of impact was considerably off course."
"1991/03/11","Hassfurt, Germany","Luft-Taxi Emsland",NULL,NULL,"Cessna 402B","D-ICLW","402B-0859",6,1,5,1,0,"Crashed while attempting a VOR/DME approach in fog. Pilot attempted to use a VOR 33km from the airport."
"1991/03/16","Malanje, Angola","Transafrik",NULL,NULL,"Lockheed L-100-30 Hercules","CP-1564","4833",6,3,6,3,0,"The cargo plane was shot down by a surface-to-air missile."
