"1970/01/01","Nulato, Alaska","Galena Air Service - Air Taxi",NULL,"Nulato, AK - Tanana, AK","Cessna 180","N3472Y",NULL,3,1,1,1,0,"Emergency flight to airlift sick patient. Collided with trees while en route. Pilot stayed low to maintain ground contact at night. Continued VFR flight into adverse weather conditions."
"1970/01/05","Stockholm, Sweden","Spantax",NULL,"Stockholm - Zurich","Convair CV-990-30A-5","EC-BNM","30-10-32",7,3,5,0,0,"The plane developed trouble in the No. 4 engine and the takeoff was aborted and the plane returned to the gate.It was decided to continue the ferry flight to Zurich on three engines.As the aircraft started its take-off roll the nose yawed to the right. This was corrected by retarding no.1 engine power. The aircraft rotated at 134kts with 27deg. Flaps. While climbing, the aircraft banked 4 to 6 degrees to the right and the airspeed dropped to 10kts below V2. The plane then contacted some tree tops, banked 10 to 15 degrees and crashed. Unexpected early loss of external visual reference after take-off and loss of directional control during transition from visual to instrument flying. Windshear."
"1970/01/12","Near Villia Greece","Military - Royal Hellenic Air Force",NULL,NULL,"Douglas C-47",NULL,NULL,2,5,1,4,0,"The aircraft, carrying paratroopers, crashed into a mountain in fog."
"1970/01/13","Faleolo, Western Samoa","Polynesian Airlines","208B","Apia, Western Samoa - Pago Pago, American Samoa","Douglas DC-3","5W-FAC","16964",2,3,2,3,0,"Crashed into a lagoon 400 yards past the end of the runway, seconds after taking off after the plane pitched up and stalled. Windshear, precipitation and turbulence."
"1970/01/14","Mt. Pumacona, Peru","Faucett",NULL,"Trujillo - Juanjui","Douglas DC-4","OB-R-776","10591",2,4,2,4,0,"Flew into a 10,500 ft. mountain. The mental state of the pilot-in-command adversely affected his judgement and efficiency. Contributing factorsATC error, navigational aids not functional."
"1970/01/24","Portage, Michigan","Buckeye Air Service - Air Taxi",NULL,"Detroit, MI - Chicago, IL","Beechcraft TC-45J","N3766",NULL,0,2,0,2,0,"Left engine feathered. Improper emergency procedure. Failed to use flaps. Pilot made go-around due to not extending flaps full."
"1970/01/25","Near Poza Rica, Mexico","Charter -Federal Electricity Commission","-",NULL,"Convair CV-240-2","XB-DOK","071",1,5,1,5,0,"Crashed into a hill on approach. The plane was carrying Mexican journalists covering the presidential campaign."
"1970/01/25","Near Delhi, India","Royal Nepal Airlines",NULL,"Kathmandu - Delhi","Fokker F-27 Friendship 200","9N-AAR","1965",1,5,0,1,0,"The aircraft crashed short of the runway after entering a thunderstorm and encountering windshear."
"1970/01/28","Near Batagai, Russia","Aeroflot",NULL,"Chokurdakh - Batagay","Antonov AN-24","CCCP-47701","59900202",2,6,2,6,0,"Crashed into a mountainwhile on approach after executing a premature descent."
"1970/01/28","Cleveland, Ohio","TAG Airlines",NULL,"Cleveland - Detroit","De Havilland Dove","N2300H",NULL,7,2,7,2,0,"The aircraft suffered an airframe failure while en route. Fatigue fracture of wing attachment fitting bolts. FAA replacement time exceeded."
"1970/01/29","Near Murmansk, Russia","Aeroflot","145","Leningrad - Murmansk","Tupolev TU-124","CCCP-45083","5351706",3,6,8,3,0,"Collided with a snow-covered rocky mountain slope 40 km northeast of Batagay Airport at an altitude of 1020 meters. The crew had initiated a descent prematurely."
