"1938/01/04","Frankfurt, Germany","Deutsche Lufthansa",NULL,"Milan, Italy - Frankfurt, Germany","Junkers JU-52/3m","D-ABUR","5777",3,3,3,3,0,"Icing on the wing caused the plane to crash close to the planes destination."
"1938/01/10","Bozeman, Montana","Northwest Orient Airlines","2","Seattle - Billings - Chicago","Lockheed 14H Super Electra","NC-17388","1407",8,2,8,2,0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter natural resonance, or period of vibration which resulted in the separation of the rudder and fins and loss of control of the aircraft."
"1938/01/11","Pago Pago, U.S. Samoa","Pan American World Airways","1","Honolulu - Pago Pago - Auckland","Sikorsky S-42 (flying boat)","NC16734","4207",0,7,0,7,0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or seven crew members were ever found. The aircraft was named Samoan Clipper.Pan Americans first pilot, Captain Edwin C. Musick, killed."
"1938/01/12","North Pine, Ontario, Canada","General Airways",NULL,"Sioux Lookout - Hudson","Stinson Reliant","CF-BEI",NULL,0,1,0,1,0,"Crashed in rugged terrain while en route."
"1938/02/02","Off San Clemente Island, California","Military - U.S. Navy / Military - U.S. Navy",NULL,NULL,"Consolidated PBY-2 / Consolidated PBY-2","04062 / 0463",NULL,0,1,0,1,0,"The two aircraft crashed in mid-air in heavy rain and darkness and crashed into the sea."
"1938/02/05","Kandalaksha, Russia","TsAGI",NULL,"Moscow - Murmansk","V6 (airship)","CCCP-V6",NULL,0,1,0,1,0,"The airship crashed while on a trial flight in preparation of rescuingRussian scientists on an ice floe in Greenland. The airship crashed into the side of a mountain."
"1938/02/09","Marseille, France","Air France",NULL,"Marseille, France - Ajaccio, Corsica","Lioré-et-Olivier H-242","F-ANPB","05",7,5,5,3,0,"The flying boat struck the breakwater in fog at 60 miles an hour and burst into flames while attempting to take off."
"1938/02/09","Guadalupe, Mexico","Mexicana",NULL,"Test flight","Lockheed 10 Electra","XA-BAS",NULL,0,0,0,0,0,"Crashed on a second test flight."
"1938/02/13","Mediterranean Sea","Ala Littoria SA",NULL,"Cazid, Spain - Rome, Italy","Cant Z-506","I-ORIA",NULL,1,4,1,4,0,"Disappeared over the Mediterranean Sea while flying in a storm"
"1938/02/22","Pontoise, France","Deutsche Lufthansa",NULL,"Berlin, Germany - Paris, France","Junkers JU.52","D-APAR",NULL,0,0,0,0,0,"Crashed in fog within a few miles of its destination near Bourget Airport."
"1938/03/01","Near Wawona, Cailifornia","Trans Continental and Western Air","8","San Francisco - Burbank","Douglas DC-2-112","NC13789","1299",6,3,6,3,0,"Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2s wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38."
"1938/03/07","Datia, India","Air France",NULL,"Hanoi, Vietnam - Paris, France","Potez 621","F-ANQR","4031/12",3,4,3,4,0,"Crashed and burst into flames shortly after taking off from Dum Dum."
"1938/03/08","Somerton, Australia","Australian National Airways",NULL,NULL,"De Havilland DH-60","VH-UNU",NULL,0,1,0,1,0,NULL
