"1948/01/06","Ruislip, England","British European Airways",NULL,"Renfrew - Northolt","Vickers 610 Viking 1B","G-AHPK","148",1,4,0,1,0,"After two or three failed approaches, the plane struck trees and crashed into a field. Poor judgment on the part of the pilot attempting to land in VFR conditions in limited visibility and poor weather conditions and not diverting to another airport."
"1948/01/06","Paris, France","Air France",NULL,"Brussels - Paris","Douglas DC-3D","F-BAXC","42972",1,5,1,5,0,"Crashed into trees a few hundred yards away from the runway while attempting to land at Le Bourget Airport. Both weather and pilot error were considered as causative factors in the accident."
"1948/01/07","Near Savannah, Georgia","Coastal Air Lines",NULL,"Charlston - Savannah","Douglas DC-3","N60331","12968",2,2,1,1,0,"After both engines stopped in flight and attempts to restart them failed, the aircraft banked sharply, stalled and crashed 10 miles east northeast of Savannah. The fuel selector valves were positioned so that both engines were supplied fuel from only one of the auxilliary tanks until the fuel was exhausted and control of the plane was lost."
"1948/01/08","Near Palestro, Algeria","Transport Comp. Algerienne de T.A.",NULL,"Algiers - Biskra","Douglas DC-3","F-BDLG","0275",7,2,7,2,0,"Crashed into a mountainside 50 miles south of Algiers."
"1948/01/11","Ciudad Havajillo, Dominican Republic","Dominicana",NULL,NULL,"Douglas DC-3","HI-6","4735",2,3,2,3,0,"Crashed in mountainous terrain about 15 miles north northwest of Santo Domingo. Unable to land in darkness and unlighted airport of its intended destination the plane turned back when it struck the mountain. Weather and navigational error were considered factors in the accident."
"1948/01/13","Oxon Hill, Maryland","Eastern Air Lines","572","Atlanta - Washington D.C.","Douglas DC-3-201F","NC28384","4092",6,3,3,2,0,"The aircraft crashed during approach, 5.2 miles short of the runway, in poor weather conditions. Failure of the crew to follow prescribedprocedures and maintain a safe altitude during an ILS approach."
"1948/01/20","Near Mukden, China","China National Aviation Corporation",NULL,NULL,"Curtiss C-46",NULL,NULL,5,3,1,0,0,"The heavily loaded plane rose 50 ft. into the air, nosed down and crashed in a snowstorm"
"1948/01/28","Diablo Mts., California","Airline Transport Carriers",NULL,"Burbank - Oakland","Douglas DC-3 (C-47B-DK)","NC36480","16850/33598",2,3,2,3,0,"The crew took the wrong plane which was scheduled for maintenance.An in-flight fire caused the engine and then wing to separate from the aircraft and crash out of control. Tests showed a fuel pump was broken in the left engine and would spray gasoline out where it could be ignited by the exhaust. The failure of the left wing in flight as a result of damage by fire which had its source in a defective left engine driven fuel pump.The crash became the impetus for the Woody Guthrie song Deportee."
"1948/01/30","Atlantic Ocean, NE of Bermuda","British South American Airways",NULL,"London - Havana","Avro 688 Tudor I","G-AHNP","1349",2,6,2,6,0,"The aircraft ran out of fuel and crashed into the Atlantic Ocean, 340 miles from Bermuda, after running into strong headwinds and being blown off course while flying the leg fromthe Azores to Bermuda. Official cause unknown. The aircraft was named Star Tiger."
"1948/02/07","Off Jacksonville, Florida","Eastern Air Lines","611",NULL,"Lockheed L-649 Constellation","NC112A","2533",6,6,0,1,0,"The No. 3 propeller failed and penetrated the fuselage killing a purser.The failure of a propeller blade due to high stresses induced by accumulative engine malfunctioning."
