"1955/01/01","Near Anchorage, Alaska","Military - US Air Force",NULL,"Anchorage - Nome","Douglas C47",NULL,NULL,NULL,NULL,NULL,NULL,0,"The pilot turned back to make an emergency landing at Skwentna Airport but hit a ridge a mile short of the runway."
"1955/01/11","Off Skellings, Ireland","Military -Royal Air Force",NULL,NULL,"Avro Shackleton M-2 / Avro Shakleton M-2","WG531 / Wl743",NULL,NULL,NULL,NULL,NULL,0,"Disappeared while on a training mission. Two planes collided in midair."
"1955/01/12","Greater Cincinnati Airport, Covington, Kentucky","Trans World Airlines / Castleton Inc.",NULL,"Cincinnati - Cleveland","Martin 202A / DC-3","N93211/N999B","14081 / 4255",1,5,1,5,0,"Midair collision at 700-900 feet. The DC-3 entered the airports control space without clearance or communication with the tower. Thirteen killed on the Martin, two crew on the DC-3."
"1955/01/19","Des Moines, Iowa","United Air Lines","329","Newark - Des Moines - Lincoln","Convair CV-340","N73154","180",3,3,0,0,0,"Almost complete loss of elevator control and severe vibration was experienced shortly after taking off from Des Moines. The plane when into a steep climb and almost stalled but the captain applied full power and went into a steep dive. The captain then reduced power and headed for open country where the aircraft safely made an emergency wheels uplanding in a corn field.A series of omissions made by maintenance personnel during a scheduled inspection which resulted in the release of the aircraft in an unairworthy condition and an almost complete loss of elevator control during flight."
"1955/01/31","Lapadrera, Colombia","Interamericana de Aviacion",NULL,NULL,"Consolidated PBY-5 Catalina","HK-1000E",NULL,4,1,4,1,0,"Crashed into the Caqueta river while landing."
"1955/02/02","Nagpur, India","Indian Airlines",NULL,"Nagpur - Delhi","Douglas DC-3","VT-CVB","13037",6,4,6,4,0,"Crashed into a field shortly after takeoff. The aircraft crashed as a result of slipping into the ground in the course of a poorly executed steep turn to port, carried out at night at a low altitude."
"1955/02/05","Near Calabar, Nigeria","West African Airways",NULL,"Enugu - Calabar","Bristol 170 Freighter 21E","VR-NAD","12779",9,4,9,4,0,"Crashed shortly after taking off after a wing failed. A design flaw in the wing led to fatigue cracks and wing failure."
"1955/02/13","Abruzzio Mountains, Italy","Sabena",NULL,"Brussels - Rome","Douglas DC-6","OO-SDB","43063/60",2,8,2,8,0,"Crashed into a mountain while on approach. Navigational error due to failure to use radio equipment."
"1955/02/19","Albuquerque, New Mexico","Trans World Airlines","260","Albuquerque - Sante Fe","Martin 404","N40416","14120",1,3,1,3,0,"After taking off from Albuquerque, the aircraft flew a path directly towards Sandia Mountain and crashed into it.While initially blaming the pilots of intentionally flying the plane into the mountain, five years later, the CAB changed the probable cause to deviation from course for reasons unknown and admitted there may have been a problem with the flux gauge compass."
"1955/02/23","Salisbury,Zimbabwe","Central African Airways","626","Salisbury - Lusaka","Douglas DC-3","VP-YKO","15109/26554",2,5,0,1,0,"The pilot began taking off and retracted the landing gear when smoke was observed in the cockpit. He attempted to belly land the plane. The propellers separated and penetrated the fuselage killing the fight engineer. The presence of smoke in the flight crew compartment in sufficient quantity to make the captain apprehensive of fire and to cause him to land the aircraft immediately with the landing gear retracted. A fractured rubber hose on the port engine connecting the rocker box of one of the lower cylinders to the collector box caused smoke to enter the wheel well and into the crew compartment."
"1955/02/26","Formosa, Argentina","de Havilland Dove",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Crashed on takeoff."
"1955/03/06","Vitoria da Conquista, Brazil","REAL",NULL,NULL,"Douglas DC-3","PP-YPZ","11699",1,3,4,1,0,"After an aborted landing attempt due to a unlocked landing gear, the plane made a left turn, hit a pole, crashed and burned. Pilot error. Improper use of the throttles by the crew following the go-around. Failure of the landing gear locking mechanism."
"1955/03/07","Near Cuidad de Valles, Mexic","Lockheed Loadstar",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1955/03/08","Mascota, Mexico","Mexicana",NULL,"Puerto Vallarta - Mexico City","Douglas DC-3","XA-DIK","3992",2,3,2,3,0,"Crashed in a hilly region between Talpa and Mascota."
"1955/03/09","Trujillo, Colombia","AVIANCA",NULL,"Condoto - Cali","Douglas C-47A","HK-328","20224",5,3,5,3,0,"The cargo plane crashed with a gold and platinum shipment aboard. Wreckage found one month later."
"1955/03/20","Springfield, Missouri","American Airlines","711","Newark - Chicago - St. Louis - Springfield - Tulsa","Convair CV-240-0","N94234","066",3,3,1,2,0,"The plane crashed 1.25 miles short of the runway while attempting to land. Crews inattention to flight instruments during approach. Pilot sensory illusion which gave afalse impression of the aircrafts altitude."
