"1982/01/07","Helena, Montana","Air Taxi",NULL,NULL,"Cessna 210","N9763X","21058063",1,1,1,1,0,"The aircraft crashed into a mountain at the 9,300 foot level. The pilot was on course for his destination. The minimum obstacle clearance altitude for his location was 10,800 feet. Weather was not a problem but the accident did occur during hours of darkness. The aircraft was in level cruise when the accident happened. Proper altitude not maintained by pilot in command."
"1982/01/07","Near Gelendzhik, USSR","Aeroflot",NULL,"Novorossiysk - Sukhumi","LET410M Turbojet","CCCP-67290","781101",1,2,1,2,0,"The aircraft crashed into high ground 22 km from the airport. Continued VFR flight into IFR condtions."
"1982/01/13","Washington, D.C.","Air Florida","90","Washington D.C. - Fort Lauderdale, FL","Boeing B-737-222","N62AF","19556/130",7,5,7,4,4,"The aircraft crashed into the 14th St. bridge and the Potomac River and sank shortly after taking off from Washington National Airport. The aircraft reached a peak altitude of 300 ft. The flight crews failure to use the engine anti-icing system during takeoff. Failure to de-ice the plane a second time before takeoff and taking off with snow/ice on the airfoil surfaces of the aircraft. Ice which accumulated on the engine pressure probes resulted in erroneously high Engine Pressure Ratio (EPR) readings. When the throttles were set to takeoff EPR, the engines were actually developing significantly less than takeoff thrust. The crews inexperience in icing condtions was a contributing factor."
"1982/01/14","Near Addis Ababa, Ethiopia","Military - Ethiopian Air Force",NULL,NULL,"Antonov AN-26","71383",NULL,NULL,NULL,NULL,NULL,0,"Shot down by rebel forces."
"1982/01/23","Logan Airport,Boston, Massachusetts","World Airways","30H","Newark, NJ - Boston, MA","McDonnell Douglas DC-10-30CF","N113WA","47821/320",2,1,2,0,0,"While landing on an icy runway, the aircraft touched down 2,800 feet beyond the displaced threshold and slid off the end of the runway into shallow water with the nose section detaching. The minimal braking effectiveness on the ice-covered runway. The crew landed without sufficient information as to runway conditions. Lack of FAA regulations. The pilots decision to retain autothrottle speed control throughout the flare and the consequent extended touchdown point on the runway contributed to the severity of the accident."
"1982/01/25","Constanta, Romania","Tarom",NULL,"Training","Antonov An-24RV","YR-BMD","57310202",0,7,0,7,0,"A malfunction of the No. 1 engine feathering system caused the aircraft to lose control and crash."
"1982/02/03","Djibouti, Djbouti","Military - French Air Force",NULL,NULL,"Nord 2501 Noratlas","140/88JA","140",3,5,3,5,0,"Crashed into a mountain before a planned paratroop drop."
"1982/02/06","Island of Cheju, South Korea","Military - Republic of South Korea Air Force",NULL,NULL,"Fairchild C-123",NULL,NULL,4,6,4,6,0,"Crashed into Mt. Halla while on approach to land in poor weather. Possible microburst windshear."
"1982/02/07","Near Srinagar, India","Military - Indian Air Force",NULL," Parhankot - Leh","Fairchild C-119G",NULL,NULL,NULL,NULL,NULL,NULL,0,"Crashed in dirzzle and snow while en route."
"1982/02/09","Mt. Ipao, Philippines","Trans Air Services",NULL,"Manila - Sicogon","Douglas DC-3 (C-47A-70-DL)","RP-C141","19251",2,3,1,2,0,"Struck Mt. Ipao on Panay Island."
