"1937/01/11","Near Playa V icente, Veracruz, Mexico","Mexicana",NULL,"Mexico City - Merida, Yucatan","Lockheed 10E Electra","X-ABEO",NULL,6,3,6,3,0,"Crashed into a mountain side and burned in adverse weather."
"1937/01/12","Near Newhall, California","Western Air Express","7","Salt Lake City - Burbank","Boeing 247D","NC13315","1696",1,2,4,1,0,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital."
"1937/01/26","Oran, Algeria","Sabena",NULL,"Belgian Congo - Brussels","Sabca S-73","OO-AGR",NULL,8,4,8,4,0,"The mail plane crashed while attempting to land."
"1937/02/09","Off San Francisco, California","United Air Lines","23","Los Angeles - San Francisco - Oakland","Douglas DC-3A","NC16073","1913",9,2,9,2,0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilots microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3."
"1937/02/19","McPherson Ranges, Queensland, Australia","Airlines of Australia",NULL,"Brisbane - Sidney","Stinson Model A","VH-UHH","1926",5,2,3,2,0,"Flying low to maintain visual contact with the ground the plane ran into down drafts that exceeded its ability to climb. The plane crashed and burned."
"1937/03/12","Bathurst, Gambia","Deutsche Lufthansa",NULL,"Las Palmas, Canary Islands - Bathhurst, Gambia","Heinkel He-111V2","D-ALIX","715",1,3,1,3,0,"The German mail plane crashed into a swamp."
"1937/03/24","Near Ouroux, France","Imperial Airways",NULL,"Southhampton, England - Alexandria, Egypt","ShortS-23 (flying boat)","G-ADVA","S-818",1,5,1,4,0,"Crashed into a mountainside in a snowstorm."
"1937/03/25","Clifton, Pennsylvania","Trans Continental and Western Air","15A","Newark - Camden - Pittsburg","Douglas DC-2-112","NC13730","1256",1,3,1,3,0,"Crashed while attempting to land. Heavy icing which rendered the plane uncontrollable."
"1937/03/26","Wetnum, Germany","Deutsche Lufthansa",NULL,NULL,"Junkers JU-52/3m","D-UPOZ","4207",4,2,2,0,0,"Engine failure."
"1937/05/06","Lakehurst, New Jersey","Deutsche Zeppelin Reederei","LZ 129","Frankfurt - Lakehurst N.J.","Zeppelin LZ-129","D-LZ-129","D-LZ129",3,6,1,2,1,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.Possible causes were static discharge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a static discharge between the Hindenburgs outer skin and frame causing the hydrogen to ignite."
"1937/05/20","Stuttgart, Germany","Deutsche Lufthansa",NULL,NULL,"Heinkel He-70","D-UXUV","916",2,2,2,2,0,"Crashed on takeoff."
"1937/06/02","Chile","Linea Aerea Nacional de Chile",NULL,"Puerto Montt - Magallanes","Sirkorsky S-43 (flying boat)",NULL,NULL,NULL,NULL,NULL,NULL,0,"Disappeared over the Sea of Chiloe"
"1937/07/02","Off Lae, New Guinea","Private - Purdue Reasearch Foundation",NULL,"Lae - Howland Island","Lockheed 10E Electra","NR16020","1055",0,2,0,2,0,"The plane disappeared while en route fromLae to Howland Island. The aircraft had to be flown higher than expected due to storms which used extra fuel.In addition, strong head winds were encountered.The aircraft most likely ran out of fuel and ditched into the ocean 50 to 100 miles northwest of Howland Island. Amelia Earhart, 40, and navigator Fred Noonan, killed."
"1937/07/28","Hal, Belgium","KLM Royal Dutch Airlines",NULL,"Amsterdam - Paris","Douglas DC-2-115L","PH-ALF","1585",1,5,1,5,0,"The aircraft crashedinto a potato field after possibly being struck by lightning and after an in-flight fire."
"1937/08/02","Wadi Halfa, Sudan","Ala Littoria",NULL,"Rome, Italy - Kartoum","Savoia-Marchetti SM73","I-SUSA","30014",5,4,5,4,0,"Crashed into a building on takeoff. The accident happened after the crew abandoned the approach and attempt an overshoot maneuver,"
"1937/08/03","Off Cristobal, Panama","Pan American Grace Airways",NULL,"Santiago, Chili - Cristobal, Panama","Sikorsky S-43","NC15065","4305",1,3,1,3,0,"The flying boat plunged into the ocean 20 miles off of Cristobal. The plane probably struck the water at high speed and was destroyed by an immediate explosion and fire."
"1937/08/08","Chilang Point, Bias Bay, China","China National Aviation Corporation",NULL,"Canton - Shanghi","Sikorsky S-43","NC16930",NULL,8,3,0,3,0,"Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued. The aircraft was named Chekiang."
"1937/08/10","Daytona Beach, Florida","Eastern Air Lines","7","Chicago - Daytona","Douglas DC-2","NC-13739","1289",7,2,2,2,0,"The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off."
"1937/08/23","San Luis, Argentina","Pan American Grace Airways",NULL,"Mendosa - Cordoba","Douglas DC-2","NC14298",NULL,0,3,0,3,0,"Crashed and burned in dense fog while enroute."
"1937/08/27","Wau, Australia","Guinea Airways",NULL,NULL,"Stinson SR-7 Reliant","VH-URC",NULL,NULL,NULL,NULL,NULL,0,NULL
"1937/10/01","Phaleron Bay, Greece","Imperial Airways",NULL,"Alexandria, Egypt- Athens, Greece","Short Empire Flying Boat","G-ADVC",NULL,9,5,2,0,0,"Crashed as it landed in Phaleron Bay. Two passengers drowned. Poor visibility was blamed for the accident."
"1937/10/06","Palembang, Netherlands Indies","KLM Royal Dutch Airlines",NULL,"Palembang - Singapore","Douglas DC-3","PH-ALS","1940",7,4,1,3,0,"Bronislaw Hubermann, celibrated Polish violinist was sightly injured."
"1937/10/17","Haydens Peak, Wyoming","United Air Lines","1","Cheyenne - Salt Lake City","Douglas DC-3","NC16074","1914",1,3,1,3,0,"The plane crashed into the side of a mountain (Humpy Ridge)in level flight at 10,000 ft. under adverse weather conditions. Static conditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front."
"1937/10/26","Off Western Africa","Air France",NULL,"Dakar - Casablanca","Dewoitine D-333","F-ALQA",NULL,3,3,3,3,0,"Disappeared after sending a distress call while en route."
"1937/11/12","Mannheim, Germany","Deutsche Lufthansa",NULL," Berlin - Mannheim","Heinkel He-111","D-AXAV","1830",9,3,7,3,0,"Hit the ground prematurely while attempting to land in fog."
"1937/11/16","Ostende, Belgium","Sabena",NULL,"Cologne - Brussels - London","Junkers JU-52/3m","OO-AUB","5827",8,3,8,3,0,"The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussels Haren airport.However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weatherconditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility."
"1937/11/26","Croydon, London","Deutsche Lufthansa",NULL,NULL,"Junkers JU-52","D-AGAV",NULL,NULL,NULL,NULL,NULL,0,NULL
"1937/12/05","Brindisi Harbor, Italy","Imperial Airways",NULL,"India - London","Short Empire Flying Boat","G-ADUZ",NULL,1,6,1,1,0,"The flying boat crashed while attempting to take off. The aircraft was named Cygnus."
"1937/12/08","Saint Sauveur, France","Air France",NULL,NULL,"Potez 621","F-AOTZ","4213",6,1,1,1,0,"Crashed in poor weather conditions."
"1937/12/24","Kasperske Hory, Czechoslovakia","Air France",NULL,"Bucharest - Vienna - Prague - Paris","Wibault 283-T12","F-AMYD","11",1,2,1,2,0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error or for political reasons."
